# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
monthly,huber,39771,21.5044,21.5044,0.0,"0,2,1,1,0,0","0,2,1,1,0,0","OK"
monthly,huber,7681,33.6846,33.6846,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
monthly,huber,11226,0.5488,0.5488,0.0,"2,0,2,0,1,1","2,0,2,0,1,1","OK"
monthly,huber,24539,6.2261,6.2261,0.0,"5,2,0,2,0,0","5,2,0,2,0,0","OK"
monthly,huber,4259,33.2225,33.2225,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
monthly,huber,31677,5.4115,5.4115,0.0,"2,1,0,2,1,2","2,1,0,2,1,2","OK"
monthly,huber,15489,0.6933,0.6933,0.0,"0,1,2,0,1,2","0,1,2,0,1,2","OK"
monthly,huber,46387,12.2871,12.2871,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber,40498,4.3991,4.3991,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber,15064,7.5815,7.5815,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
monthly,huber,30522,3.9147,3.9147,0.0,"2,1,1,0,0,1","2,1,1,0,0,1","OK"
monthly,ridge_pen,39101,5.1641,5.1641,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,ridge_pen,44369,2.6156,2.609,-0.0066,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
monthly,ridge_pen,27462,11.8763,11.8763,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,ridge_pen,15822,4.7035,4.6551,-0.0484,"3,0,0,2,1,1","3,0,0,2,1,1","OK"
monthly,ridge_pen,11587,4.1516,4.2068,0.0552,"1,0,0,1,1,2","1,0,0,1,1,2","OK"
monthly,ridge_pen,33862,45.8636,44.7795,-1.0841,"1,0,0,0,1,2","1,0,0,2,1,0","OK"
monthly,ridge_pen,45180,25.5244,27.3077,1.7833,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,ridge_pen,37363,3.9713,3.9065,-0.0648,"1,0,1,0,1,0","1,0,1,0,1,0","OK"
monthly,ridge_pen,27144,10.7673,10.7697,0.0024,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,ridge_pen,7579,14.2856,14.1649,-0.1207,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
monthly,ridge_pen,24425,2.6538,2.6535,-0.0003,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
monthly,ridge_pen,18608,25.6636,25.6593,-0.0043,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,ridge_pen,41105,2.6607,2.6607,0.0,"0,1,0,2,0,0","0,1,0,2,0,0","OK"
monthly,ridge_pen,23642,5.6854,5.6807,-0.0047,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,ridge_pen,269,22.2483,14.3924,-7.8559,"5,0,1,0,1,2","5,0,1,0,1,2","OK"
monthly,ridge_pen,43841,1.8466,1.8568,0.0102,"1,2,1,0,0,1","1,2,1,0,0,1","OK"
