# provenance: campaign=E sarimax_commit=aa68d57 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=eixos_weekly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: celula,freq,series,p,d,q,P,D,Q,smape,mase,tempo,status
cell,freq,series,p,d,q,P,D,Q,smape,mase,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"base","weekly",63,4,1,2,0,0,0,2.8068,2.6416,14.79,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",64,5,1,1,0,0,0,3.2511,2.1905,9.92,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",65,5,1,1,0,0,0,2.8644,2.0938,11.26,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",66,5,2,3,0,0,0,0.3664,0.9363,11.31,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",67,4,2,3,0,0,0,1.3588,6.1473,5.89,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",68,5,2,1,0,0,0,2.1521,4.7994,2.24,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",69,4,2,2,0,0,0,2.0641,3.6351,1.97,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",70,4,1,1,0,0,0,1.1744,0.9292,2.46,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",71,0,1,4,0,0,0,5.6841,0.8491,1.24,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",72,2,1,0,0,0,0,5.9,1.0591,0.82,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",73,2,1,0,0,0,0,5.9009,1.0592,0.62,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",74,3,1,0,0,0,0,20.4701,11.5416,2.01,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",75,3,2,2,0,0,0,2.5583,2.1429,2.73,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
