# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_penal.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
8173,69,"ridge_pen",0,1,1,0,0,0,32.3898,1.1668,0.3191,0,2.24,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
14181,159,"mae_pen",0,1,0,0,0,0,4.1506,0.2808,0.0,0,24.83,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
46423,212,"mae_pen",0,1,2,0,0,0,13.1788,2.1049,0.2341,0,57.67,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
7948,69,"mae_pen",0,1,0,0,0,0,18.6764,0.612,0.0,0,1.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
13103,306,"mae_pen",2,1,1,0,1,2,0.5572,0.316,0.8632,0,271.45,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
11272,306,"huber_pen",1,1,1,0,1,1,0.7983,0.3021,0.9351,0,373.79,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
13355,306,"ridge_pen",0,1,1,0,1,1,0.3925,0.2591,0.5475,0,8.31,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
44523,206,"ridge_pen",0,1,0,0,0,0,2.0791,0.1309,0.0,0,6.63,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
28829,233,"mae_pen",0,2,2,0,0,1,8.1244,0.1215,0.673,0,71.93,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
10894,306,"huber_pen",4,1,1,0,1,1,1.3356,0.6681,0.6916,0,427.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
17813,69,"ridge_pen",0,1,1,0,0,0,34.819,0.5458,0.2261,0,2.36,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
24421,184,"huber_pen",1,1,1,0,0,0,1.2314,0.3274,0.861,0,90.67,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
11226,306,"huber_pen",2,0,2,0,1,1,1.137,0.3738,1.938,0,528.57,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
7299,69,"ridge_pen",0,1,0,0,0,0,16.2584,0.3278,0.0,0,0.62,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
12164,306,"huber_pen",0,1,0,1,1,1,1.4895,0.3631,0.8542,0,238.17,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
2000,306,"ridge_pen",2,0,0,1,1,2,4.425,2.3548,0.6535,0,30.05,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
19213,69,"mae_pen",1,1,0,0,0,0,29.813,0.7747,0.4444,0,11.23,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
6127,270,"huber_pen",2,1,1,2,0,0,30.3979,2.4057,0.8932,0,282.82,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
16945,69,"huber_pen",0,1,1,0,0,2,3.5212,0.9611,0.7343,0,12.04,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
10658,150,"mae_pen",0,1,1,1,1,2,2.0653,1.0333,0.3912,0,15.14,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
25741,256,"huber_pen",2,0,0,2,1,0,2.7423,0.5744,0.5084,0,149.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
4170,330,"ridge_pen",1,1,0,2,0,0,10.6109,0.7623,0.2588,0,13.91,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
35153,175,"huber_pen",0,0,3,0,1,2,11.8069,1.9651,0.7059,0,91.04,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
45829,66,"ridge_pen",0,1,2,0,0,0,18.2353,0.3488,0.771,0,1.12,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
7752,69,"huber_pen",0,1,0,0,0,0,40.2727,1.4272,0.0,0,7.85,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
37215,307,"ridge_pen",0,1,0,1,0,1,3.3229,0.8655,0.8541,0,10.62,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21029,186,"mae_pen",1,1,0,1,0,0,5.6833,1.9578,0.4184,0,45.39,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
8190,69,"mae_pen",0,1,1,1,0,0,9.5046,0.6159,0.2398,0,5.35,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
2443,306,"huber_pen",1,0,1,2,1,0,2.1413,1.1905,0.9839,0,691.97,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
37382,187,"huber_pen",0,1,0,0,0,0,0.7754,0.1831,0.0,0,25.39,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
16568,69,"ridge_pen",0,1,1,0,0,1,63.887,2.1114,0.4607,0,1.59,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
31101,330,"mae_pen",0,1,1,2,0,2,16.3483,1.5768,0.7091,0,176.26,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
453,208,"huber_pen",0,2,1,0,0,2,6.9917,1.7428,0.8943,0,65.64,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21661,172,"huber_pen",0,1,1,0,1,1,4.0558,0.915,0.6794,0,39.8,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
