# provenance: campaign=E sarimax_commit=6e8e0bd sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=eixos_6e8e0bd.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: celula,freq,series,p,d,q,P,D,Q,smape,mase,tempo,status
cell,freq,series,p,d,q,P,D,Q,smape,mase,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"base","weekly",72,2,1,0,0,0,0,6.0163,1.0793,0.76,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",73,2,1,0,0,0,0,6.0172,1.0793,0.51,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",74,3,1,0,0,0,0,20.9112,11.816,1.13,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",75,1,2,1,0,0,0,2.8034,2.3576,1.2,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",76,0,2,1,0,0,0,110.4319,3.8962,0.28,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",77,2,1,5,0,0,0,12.8679,3.018,5.82,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",78,2,1,1,0,0,0,12.7986,2.4112,1.65,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",79,5,1,5,0,0,0,18.7992,3.2664,5.63,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",80,4,1,3,0,0,0,13.2769,2.1685,2.2,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",81,1,2,2,0,0,0,2.7609,2.7665,1.2,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
