# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_monthly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
20967,69,"mse",0,1,0,0,1,1,10.3076,0.2441,0.4443,0,0.85,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
43977,69,"ridge",1,1,0,0,1,1,2.6944,0.6467,0.1503,0,0.33,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
16144,317,"mse",0,1,2,0,0,0,12.742,1.0324,0.2821,0,25.76,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
34426,82,"mse",0,1,1,0,0,0,16.1201,1.4051,0.7486,0,1.67,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
33697,175,"huber",0,1,1,2,0,0,8.722,0.4657,0.6378,0,4.48,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
5661,352,"mse_zeroed",2,1,1,2,0,0,14.6797,1.4974,0.945,0,4.02,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
10409,244,"mae",1,0,2,0,1,1,13.3909,1.4649,0.9446,0,12.3,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
2378,306,"mse",1,0,1,0,1,1,0.6576,0.3451,0.9834,0,28.97,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
44633,206,"huber",0,1,0,0,0,0,3.0231,0.4179,0.0,0,8.83,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
16244,317,"mse",2,1,0,0,0,0,7.0891,1.1942,0.3414,0,16.76,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
20668,69,"mse",0,1,1,0,0,2,9.0421,0.1602,0.8414,0,2.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
28865,585,"mae",0,1,0,2,0,0,1.5928,0.4063,0.3153,0,7.67,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
